,SIU_CUST_YN
19231,Y
9482,N
5222,N
7810,N
16162,N
5195,N
6369,N
8623,N
7912,N
11504,N
8574,N
18126,N
16316,Y
6210,N
6550,N
4371,Y
1413,N
1130,Y
14540,N
12255,N
13432,N
1621,N
7315,N
8935,N
11297,N
5683,N
12359,N
3298,N
6072,N
9483,N
10422,N
10792,N
9577,N
16359,N
19655,N
11816,Y
8037,N
9722,N
18301,N
18506,N
16167,N
16846,N
14305,N
14625,N
18539,N
4832,N
483,N
3846,N
16912,N
1315,Y
14618,N
13940,N
10353,N
9226,N
1576,N
13242,N
10101,N
12833,N
6438,N
20175,N
8843,N
16511,N
1989,N
7466,N
7974,N
17273,N
6547,N
14329,N
19248,N
121,N
2609,N
19818,N
12461,N
13695,N
953,N
6647,N
14074,Y
6381,N
12020,N
9808,N
1270,N
15175,N
1691,N
17860,N
10346,N
10205,N
19438,N
10712,N
9423,N
2974,Y
8086,N
8810,N
4702,N
7499,Y
5748,N
1208,N
5456,N
13093,Y
17410,Y
1090,N
3120,Y
15027,Y
12157,N
14765,N
1533,N
12529,N
1411,N
14639,N
2614,N
2636,N
19668,N
13890,N
2664,N
9575,Y
10690,N
17433,N
8753,N
20575,N
14463,N
13818,N
5665,N
13038,N
18559,N
6599,N
18323,N
13866,N
19807,N
1767,N
19821,N
8561,N
11379,N
11285,N
18082,N
16933,N
17074,N
13736,N
18285,N
5128,N
14029,N
12822,N
10515,N
4671,N
1002,N
18075,N
16513,N
20436,N
17656,N
15995,N
16340,N
16249,N
19512,N
7247,N
16681,N
2146,N
12628,N
2662,N
17561,N
8180,N
3194,N
12440,N
2953,N
6506,N
6248,N
4245,N
2310,N
13475,N
17462,N
13864,N
15501,N
3795,N
11467,N
1280,N
5893,N
11188,N
10309,N
10608,N
16992,N
9409,Y
7599,N
8962,N
7159,Y
222,N
3545,N
9444,N
2442,N
14064,N
9723,N
1972,N
1570,Y
2281,N
14416,N
2021,N
8757,N
15411,N
5391,N
19213,N
2556,N
18786,N
12407,N
3344,N
902,Y
8054,N
181,N
10206,N
5381,Y
1853,N
4438,N
14920,N
18995,N
